App > Industry/Discipline > Module,Simulation Name,Duration (Min),Learning Objective,Standards Body > Category,Standards
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Non-Motorized Equipment,16,Trainee will select and wear correct PPE.,OSHA > OSHA-10 > 1910 Subpart I Personal Protective Equipment,CS.1926.132 > General Requirements: Personal Protective Equipment 1926.132a.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Non-Motorized Equipment,16,Trainee will demonstrate knowledge of components of a pallet jack.,OSHA > OSHA-10 > 1910 Subpart I Personal Protective Equipment,CS.1926.132 > General Requirements: Personal Protective Equipment 1926.132a.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Non-Motorized Equipment,16,Trainee will demonstrate how to operate a pallet jack.,OSHA > OSHA-10 > 1910 Subpart I Personal Protective Equipment,CS.1926.132 > General Requirements: Personal Protective Equipment 1926.132a.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Non-Motorized Equipment,16,Trainee will demonstrate how to inspect of a pallet jack.,OSHA > OSHA-10 > 1910 Subpart I Personal Protective Equipment,CS.1926.132 > General Requirements: Personal Protective Equipment 1926.132a.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Non-Motorized Equipment,16,Trainee will demonstrate how to recognize hazards.,OSHA > OSHA-10 > 1910 Subpart I Personal Protective Equipment,CS.1926.132 > General Requirements: Personal Protective Equipment 1926.132a.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Materials Handling: Receiving and Storage Safety,11,Trainee will demonstrate safe receiving and storage techniques.,"OSHA > OSHA-10 Construction > 1926 Subpart C
General Safety and Health Provisions",CS.1926.21 > 1926.21(b)(3) Employee training; 1926.21(b)(5) Safe handling of toxic materials.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Materials Handling: Situational Awareness,6,Trainee will demonstrate situational awareness in a warehouse environment.,"OSHA > OSHA-10 Construction > 1926 Subpart C
General Safety and Health Provisions","CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Intro to Rigging Hitches,18,Trainee will select and wear correct PPE.,"OSHA > OSHA-10 Construction > 1926 Subpart CC
Cranes and Derricks in Construction",CS.1926.1419 > General Requirements: Signals 1926.1419c.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Intro to Rigging Hitches,18,Trainee will build double choker hitch.,"OSHA > OSHA-10 Construction > 1926 Subpart CC
Cranes and Derricks in Construction",CS.1926.1419 > General Requirements: Signals 1926.1419c.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Intro to Rigging Hitches,18,Trainee will build a bridle hitch.,"OSHA > OSHA-10 Construction > 1926 Subpart CC
Cranes and Derricks in Construction",CS.1926.1419 > General Requirements: Signals 1926.1419c.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Intro to Rigging Hitches,18,Trainee will demonstrate awareness of emergency stop signal.,"OSHA > OSHA-10 Construction > 1926 Subpart CC
Cranes and Derricks in Construction",CS.1926.1419 > General Requirements: Signals 1926.1419c.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Intro to Rigging Hitches,18,Trainee will demonstrate general knowledge of rigging hitches.,"OSHA > OSHA-10 Construction > 1926 Subpart CC
Cranes and Derricks in Construction",CS.1926.1419 > General Requirements: Signals 1926.1419c.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Materials Handling: Hoists & Cranes,22,Trainee will demonstrate basic safety practices for working with and around hoists and cranes.,OSHA > OSHA-10 Construction > 1926 Subpart N - Materials Handling and Storage,"CS.1926.552 > General Requirments: Wire rope: 1926.552(a)(2) Rated load capacities; 1926.552(a)(3) Wire rope condition; 1926.552(a)(3)(i) Wire rope wire damage; 1926.552(a)(3)(ii) Abrasion, scrubbing, flattening, or peening; 1926.552(a)(3)(iii) Heat damage; 1926.552(a)(3)(iv) Deformation; 1926.552(a)(3)(v)."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,"Intro to Simon, Accidents and Injury Prevention",18,Trainee will demonstrate knowledge of accident and injury prevention in basic plant safety.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions; 1926.21(b)(3) Harmful substances training; 1926.21(b)(5) Flammable substaces or toxic materials training."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,"Intro to Simon, Accidents and Injury Prevention",18,Trainee will demonstrate knowledge of accident and injury prevention with working walking surfaces.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions; 1926.21(b)(3) Harmful substances training; 1926.21(b)(5) Flammable substaces or toxic materials training."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,"Intro to Simon, Accidents and Injury Prevention",18,Trainee will demonstrate knowledge of accident and injury prevention with fire hazards.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions; 1926.21(b)(3) Harmful substances training; 1926.21(b)(5) Flammable substaces or toxic materials training."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,"Intro to Simon, Accidents and Injury Prevention",18,Trainee will demonstrate knowledge of accident and injury prevention with shutdown machinery.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions; 1926.21(b)(3) Harmful substances training; 1926.21(b)(5) Flammable substaces or toxic materials training."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,"Intro to Simon, Accidents and Injury Prevention",18,Trainee will demonstrate knowledge of accident and injury prevention with lifting heavy objects.,OSHA > OSHA-10: Construction > 1926 Subpart C General Safety and Health Provisions,"CS.1926.21 > Safety training and education: 1926.21(a) General requirements and hazard recognition; 1926.21(b)(2) Recognise, avoid and control unsafe hazards and conditions; 1926.21(b)(3) Harmful substances training; 1926.21(b)(5) Flammable substaces or toxic materials training."
